genres,title,item_id,year,playtime_forever
Classic,Ghost Master®,6200,2003,42986.0
Singleplayer,Ghost Master®,6200,2003,42986.0
Funny,Ghost Master®,6200,2003,42986.0
Tactical,Ghost Master®,6200,2003,42986.0
Horror,Ghost Master®,6200,2003,42986.0
Sandbox,Ghost Master®,6200,2003,42986.0
Great Soundtrack,Ghost Master®,6200,2003,42986.0
Strategy,Vegas: Make It Big™,6210,2006,8226.0
Simulation,Vegas: Make It Big™,6210,2006,8226.0
Management,Vegas: Make It Big™,6210,2006,8226.0
Adventure,Dreamfall: The Longest Journey,6300,2006,20235.0
Female Protagonist,Dreamfall: The Longest Journey,6300,2006,20235.0
Story Rich,Dreamfall: The Longest Journey,6300,2006,20235.0
Fantasy,Dreamfall: The Longest Journey,6300,2006,20235.0
Sci-fi,Dreamfall: The Longest Journey,6300,2006,20235.0
Singleplayer,Dreamfall: The Longest Journey,6300,2006,20235.0
Third Person,Dreamfall: The Longest Journey,6300,2006,20235.0
RPG,Dreamfall: The Longest Journey,6300,2006,20235.0
Futuristic,Dreamfall: The Longest Journey,6300,2006,20235.0
Great Soundtrack,Dreamfall: The Longest Journey,6300,2006,20235.0
Atmospheric,Dreamfall: The Longest Journey,6300,2006,20235.0
Cyberpunk,Dreamfall: The Longest Journey,6300,2006,20235.0
Racing,FlatOut 2™,2990,2006,263982.0
Destruction,FlatOut 2™,2990,2006,263982.0
Multiplayer,FlatOut 2™,2990,2006,263982.0
Great Soundtrack,FlatOut 2™,2990,2006,263982.0
Classic,FlatOut 2™,2990,2006,263982.0
Action,FlatOut 2™,2990,2006,263982.0
Singleplayer,FlatOut 2™,2990,2006,263982.0
Music,FlatOut 2™,2990,2006,263982.0
Simulation,FlatOut 2™,2990,2006,263982.0
Driving,FlatOut 2™,2990,2006,263982.0
Arcade,FlatOut 2™,2990,2006,263982.0
Physics,FlatOut 2™,2990,2006,263982.0
Comedy,FlatOut 2™,2990,2006,263982.0
Casual,FlatOut 2™,2990,2006,263982.0
Atmospheric,FlatOut 2™,2990,2006,263982.0
Funny,FlatOut 2™,2990,2006,263982.0
Racing,FlatOut,6220,2005,42551.0
Destruction,FlatOut,6220,2005,42551.0
Driving,FlatOut,6220,2005,42551.0
Multiplayer,FlatOut,6220,2005,42551.0
Classic,FlatOut,6220,2005,42551.0
Arcade,FlatOut,6220,2005,42551.0
Funny,FlatOut,6220,2005,42551.0
Action,FlatOut,6220,2005,42551.0
Singleplayer,FlatOut,6220,2005,42551.0
Great Soundtrack,FlatOut,6220,2005,42551.0
Action,Lost Planet™: Extreme Condition,6510,2007,43388.0
Adventure,Lost Planet™: Extreme Condition,6510,2007,43388.0
Third-Person Shooter,Lost Planet™: Extreme Condition,6510,2007,43388.0
Mechs,Lost Planet™: Extreme Condition,6510,2007,43388.0
Sci-fi,Lost Planet™: Extreme Condition,6510,2007,43388.0
Shooter,Lost Planet™: Extreme Condition,6510,2007,43388.0
Third Person,Lost Planet™: Extreme Condition,6510,2007,43388.0
Atmospheric,Lost Planet™: Extreme Condition,6510,2007,43388.0
Multiplayer,Lost Planet™: Extreme Condition,6510,2007,43388.0
Robots,Lost Planet™: Extreme Condition,6510,2007,43388.0
Strategy,CivCity: Rome,3980,2006,12286.0
City Builder,CivCity: Rome,3980,2006,12286.0
Simulation,CivCity: Rome,3980,2006,12286.0
Rome,CivCity: Rome,3980,2006,12286.0
RPG,Arx Fatalis,1700,2002,19096.0
First-Person,Arx Fatalis,1700,2002,19096.0
Classic,Arx Fatalis,1700,2002,19096.0
Atmospheric,Arx Fatalis,1700,2002,19096.0
Fantasy,Arx Fatalis,1700,2002,19096.0
Dark Fantasy,Arx Fatalis,1700,2002,19096.0
Singleplayer,Arx Fatalis,1700,2002,19096.0
Action,Arx Fatalis,1700,2002,19096.0
Underground,Arx Fatalis,1700,2002,19096.0
Story Rich,Arx Fatalis,1700,2002,19096.0
Adventure,Arx Fatalis,1700,2002,19096.0
Exploration,Arx Fatalis,1700,2002,19096.0
Adventure,The Longest Journey,6310,2000,52000.0
Point & Click,The Longest Journey,6310,2000,52000.0
Female Protagonist,The Longest Journey,6310,2000,52000.0
Story Rich,The Longest Journey,6310,2000,52000.0
Fantasy,The Longest Journey,6310,2000,52000.0
Classic,The Longest Journey,6310,2000,52000.0
Sci-fi,The Longest Journey,6310,2000,52000.0
Futuristic,The Longest Journey,6310,2000,52000.0
Singleplayer,The Longest Journey,6310,2000,52000.0
Cyberpunk,The Longest Journey,6310,2000,52000.0
Funny,The Longest Journey,6310,2000,52000.0
Puzzle,The Longest Journey,6310,2000,52000.0
Atmospheric,The Longest Journey,6310,2000,52000.0
RPG,The Longest Journey,6310,2000,52000.0
Action,The Longest Journey,6310,2000,52000.0
Great Soundtrack,The Longest Journey,6310,2000,52000.0
Third Person,The Longest Journey,6310,2000,52000.0
Strategy,Civilization IV®: Warlords,3990,2006,139336.0
Turn-Based,Civilization IV®: Warlords,3990,2006,139336.0
Turn-Based Strategy,Civilization IV®: Warlords,3990,2006,139336.0
4X,Civilization IV®: Warlords,3990,2006,139336.0
Historical,Civilization IV®: Warlords,3990,2006,139336.0
Strategy,Railroad Tycoon 3,7610,2003,15391.0
Management,Railroad Tycoon 3,7610,2003,15391.0
Trains,Railroad Tycoon 3,7610,2003,15391.0
Simulation,Railroad Tycoon 3,7610,2003,15391.0
Real-Time with Pause,Railroad Tycoon 3,7610,2003,15391.0
Economy,Railroad Tycoon 3,7610,2003,15391.0
Classic,Railroad Tycoon 3,7610,2003,15391.0
Singleplayer,Railroad Tycoon 3,7610,2003,15391.0
Strategy,Sid Meier's Railroads!,7600,2006,213960.0
Trains,Sid Meier's Railroads!,7600,2006,213960.0
Management,Sid Meier's Railroads!,7600,2006,213960.0
Economy,Sid Meier's Railroads!,7600,2006,213960.0
Simulation,Sid Meier's Railroads!,7600,2006,213960.0
Singleplayer,Sid Meier's Railroads!,7600,2006,213960.0
Multiplayer,Sid Meier's Railroads!,7600,2006,213960.0
Real-Time with Pause,Sid Meier's Railroads!,7600,2006,213960.0
Classic,Sid Meier's Railroads!,7600,2006,213960.0
Casual,Sid Meier's Railroads!,7600,2006,213960.0
Strategy,Railroad Tycoon II Platinum,7620,1998,823.0
Management,Railroad Tycoon II Platinum,7620,1998,823.0
Trains,Railroad Tycoon II Platinum,7620,1998,823.0
Simulation,Railroad Tycoon II Platinum,7620,1998,823.0
Singleplayer,Railroad Tycoon II Platinum,7620,1998,823.0
Classic,Railroad Tycoon II Platinum,7620,1998,823.0
Economy,Railroad Tycoon II Platinum,7620,1998,823.0
Indie,RIP - Trilogy™,2540,2007,5672.0
Casual,RIP - Trilogy™,2540,2007,5672.0
Arcade,RIP - Trilogy™,2540,2007,5672.0
Shooter,RIP - Trilogy™,2540,2007,5672.0
Action,RIP - Trilogy™,2540,2007,5672.0
2D,RIP - Trilogy™,2540,2007,5672.0
Singleplayer,RIP - Trilogy™,2540,2007,5672.0
Top-Down,RIP - Trilogy™,2540,2007,5672.0
Strategy,X-COM: Terror From the Deep,7650,1995,49836.0
Classic,X-COM: Terror From the Deep,7650,1995,49836.0
Sci-fi,X-COM: Terror From the Deep,7650,1995,49836.0
Turn-Based,X-COM: Terror From the Deep,7650,1995,49836.0
Turn-Based Strategy,X-COM: Terror From the Deep,7650,1995,49836.0
Tactical,X-COM: Terror From the Deep,7650,1995,49836.0
Aliens,X-COM: Terror From the Deep,7650,1995,49836.0
Difficult,X-COM: Terror From the Deep,7650,1995,49836.0
Underwater,X-COM: Terror From the Deep,7650,1995,49836.0
Turn-Based Tactics,X-COM: Terror From the Deep,7650,1995,49836.0
Lovecraftian,X-COM: Terror From the Deep,7650,1995,49836.0
Isometric,X-COM: Terror From the Deep,7650,1995,49836.0
Management,X-COM: Terror From the Deep,7650,1995,49836.0
Singleplayer,X-COM: Terror From the Deep,7650,1995,49836.0
Base Building,X-COM: Terror From the Deep,7650,1995,49836.0
Horror,X-COM: Terror From the Deep,7650,1995,49836.0
Action,Tomb Raider: Anniversary,8000,2007,99745.0
Adventure,Tomb Raider: Anniversary,8000,2007,99745.0
Female Protagonist,Tomb Raider: Anniversary,8000,2007,99745.0
Puzzle,Tomb Raider: Anniversary,8000,2007,99745.0
Third Person,Tomb Raider: Anniversary,8000,2007,99745.0
Lara Croft,Tomb Raider: Anniversary,8000,2007,99745.0
Platformer,Tomb Raider: Anniversary,8000,2007,99745.0
Remake,Tomb Raider: Anniversary,8000,2007,99745.0
Singleplayer,Tomb Raider: Anniversary,8000,2007,99745.0
Classic,Tomb Raider: Anniversary,8000,2007,99745.0
Action-Adventure,Tomb Raider: Anniversary,8000,2007,99745.0
Dinosaurs,Tomb Raider: Anniversary,8000,2007,99745.0
Parkour,Tomb Raider: Anniversary,8000,2007,99745.0
Third-Person Shooter,Tomb Raider: Anniversary,8000,2007,99745.0
Shooter,Tomb Raider: Anniversary,8000,2007,99745.0
3D Vision,Tomb Raider: Anniversary,8000,2007,99745.0
Action,Devil May Cry® 3 Special Edition,6550,2006,66775.0
Hack and Slash,Devil May Cry® 3 Special Edition,6550,2006,66775.0
Stylized,Devil May Cry® 3 Special Edition,6550,2006,66775.0
Great Soundtrack,Devil May Cry® 3 Special Edition,6550,2006,66775.0
Spectacle fighter,Devil May Cry® 3 Special Edition,6550,2006,66775.0
Character Action Game,Devil May Cry® 3 Special Edition,6550,2006,66775.0
Classic,Devil May Cry® 3 Special Edition,6550,2006,66775.0
Singleplayer,Devil May Cry® 3 Special Edition,6550,2006,66775.0
Difficult,Devil May Cry® 3 Special Edition,6550,2006,66775.0
Third Person,Devil May Cry® 3 Special Edition,6550,2006,66775.0
Adventure,Devil May Cry® 3 Special Edition,6550,2006,66775.0
Beat 'em up,Devil May Cry® 3 Special Edition,6550,2006,66775.0
Fantasy,Devil May Cry® 3 Special Edition,6550,2006,66775.0
Story Rich,Devil May Cry® 3 Special Edition,6550,2006,66775.0
Atmospheric,Devil May Cry® 3 Special Edition,6550,2006,66775.0
Demons,Devil May Cry® 3 Special Edition,6550,2006,66775.0
Controller,Devil May Cry® 3 Special Edition,6550,2006,66775.0
Comedy,Devil May Cry® 3 Special Edition,6550,2006,66775.0
Funny,Devil May Cry® 3 Special Edition,6550,2006,66775.0
Horror,Devil May Cry® 3 Special Edition,6550,2006,66775.0
Point & Click,Sam &amp; Max 101: Culture Shock,8200,2006,48324.0
Comedy,Sam &amp; Max 101: Culture Shock,8200,2006,48324.0
Adventure,Sam &amp; Max 101: Culture Shock,8200,2006,48324.0
Detective,Sam &amp; Max 101: Culture Shock,8200,2006,48324.0
Mystery,Sam &amp; Max 101: Culture Shock,8200,2006,48324.0
Episodic,Sam &amp; Max 101: Culture Shock,8200,2006,48324.0
Funny,Sam &amp; Max 101: Culture Shock,8200,2006,48324.0
FPS,Final DOOM,2290,1996,13818.0
Action,Final DOOM,2290,1996,13818.0
Classic,Final DOOM,2290,1996,13818.0
Retro,Final DOOM,2290,1996,13818.0
Shooter,Final DOOM,2290,1996,13818.0
Singleplayer,Final DOOM,2290,1996,13818.0
First-Person,Final DOOM,2290,1996,13818.0
1990's,Final DOOM,2290,1996,13818.0
Moddable,Final DOOM,2290,1996,13818.0
Sci-fi,Final DOOM,2290,1996,13818.0
Difficult,Final DOOM,2290,1996,13818.0
Multiplayer,Final DOOM,2290,1996,13818.0
Great Soundtrack,Final DOOM,2290,1996,13818.0
Zombies,Final DOOM,2290,1996,13818.0
Demons,Final DOOM,2290,1996,13818.0
Gore,Final DOOM,2290,1996,13818.0
Horror,Final DOOM,2290,1996,13818.0
Online Co-Op,Final DOOM,2290,1996,13818.0
Atmospheric,Final DOOM,2290,1996,13818.0
Indie,Vigil: Blood Bitterness™,2570,2007,811.0
RPG,Vigil: Blood Bitterness™,2570,2007,811.0
Puzzle,Vigil: Blood Bitterness™,2570,2007,811.0
Singleplayer,Vigil: Blood Bitterness™,2570,2007,811.0
Adventure,Sam &amp; Max 102: Situation: Comedy,8210,2006,30332.0
Action,Sam &amp; Max 102: Situation: Comedy,8210,2006,30332.0
Classic,Ultimate Doom,2280,1995,77440.0
FPS,Ultimate Doom,2280,1995,77440.0
Action,Ultimate Doom,2280,1995,77440.0
1990's,Ultimate Doom,2280,1995,77440.0
Great Soundtrack,Ultimate Doom,2280,1995,77440.0
Demons,Ultimate Doom,2280,1995,77440.0
Moddable,Ultimate Doom,2280,1995,77440.0
Singleplayer,Ultimate Doom,2280,1995,77440.0
Sci-fi,Ultimate Doom,2280,1995,77440.0
Retro,Ultimate Doom,2280,1995,77440.0
Shooter,Ultimate Doom,2280,1995,77440.0
Gore,Ultimate Doom,2280,1995,77440.0
First-Person,Ultimate Doom,2280,1995,77440.0
Fast-Paced,Ultimate Doom,2280,1995,77440.0
Violent,Ultimate Doom,2280,1995,77440.0
Multiplayer,Ultimate Doom,2280,1995,77440.0
2.5D,Ultimate Doom,2280,1995,77440.0
Difficult,Ultimate Doom,2280,1995,77440.0
Horror,Ultimate Doom,2280,1995,77440.0
Zombies,Ultimate Doom,2280,1995,77440.0
Action,Master Levels for Doom II,9160,1995,8075.0
FPS,Master Levels for Doom II,9160,1995,8075.0
Classic,Master Levels for Doom II,9160,1995,8075.0
Shooter,Master Levels for Doom II,9160,1995,8075.0
First-Person,Master Levels for Doom II,9160,1995,8075.0
Retro,Master Levels for Doom II,9160,1995,8075.0
Sci-fi,Master Levels for Doom II,9160,1995,8075.0
Singleplayer,Master Levels for Doom II,9160,1995,8075.0
1990's,Master Levels for Doom II,9160,1995,8075.0
Gore,Master Levels for Doom II,9160,1995,8075.0
Zombies,Master Levels for Doom II,9160,1995,8075.0
Demons,Master Levels for Doom II,9160,1995,8075.0
Moddable,Master Levels for Doom II,9160,1995,8075.0
Great Soundtrack,Master Levels for Doom II,9160,1995,8075.0
Horror,Master Levels for Doom II,9160,1995,8075.0
Difficult,Master Levels for Doom II,9160,1995,8075.0
Classic,DOOM II,2300,1994,66166.0
FPS,DOOM II,2300,1994,66166.0
Action,DOOM II,2300,1994,66166.0
1990's,DOOM II,2300,1994,66166.0
Shooter,DOOM II,2300,1994,66166.0
Moddable,DOOM II,2300,1994,66166.0
Demons,DOOM II,2300,1994,66166.0
Sci-fi,DOOM II,2300,1994,66166.0
Retro,DOOM II,2300,1994,66166.0
Violent,DOOM II,2300,1994,66166.0
First-Person,DOOM II,2300,1994,66166.0
Multiplayer,DOOM II,2300,1994,66166.0
Gore,DOOM II,2300,1994,66166.0
Singleplayer,DOOM II,2300,1994,66166.0
Zombies,DOOM II,2300,1994,66166.0
Great Soundtrack,DOOM II,2300,1994,66166.0
Pixel Graphics,DOOM II,2300,1994,66166.0
Horror,DOOM II,2300,1994,66166.0
Online Co-Op,DOOM II,2300,1994,66166.0
2.5D,DOOM II,2300,1994,66166.0
FPS,Wolfenstein 3D,2270,1994,32482.0
Classic,Wolfenstein 3D,2270,1994,32482.0
Action,Wolfenstein 3D,2270,1994,32482.0
World War II,Wolfenstein 3D,2270,1994,32482.0
Singleplayer,Wolfenstein 3D,2270,1994,32482.0
Retro,Wolfenstein 3D,2270,1994,32482.0
First-Person,Wolfenstein 3D,2270,1994,32482.0
1990's,Wolfenstein 3D,2270,1994,32482.0
Shooter,Wolfenstein 3D,2270,1994,32482.0
Moddable,Wolfenstein 3D,2270,1994,32482.0
Pixel Graphics,Wolfenstein 3D,2270,1994,32482.0
2.5D,Wolfenstein 3D,2270,1994,32482.0
FPS,Return to Castle Wolfenstein,9010,2001,102518.0
Action,Return to Castle Wolfenstein,9010,2001,102518.0
Classic,Return to Castle Wolfenstein,9010,2001,102518.0
World War II,Return to Castle Wolfenstein,9010,2001,102518.0
Supernatural,Return to Castle Wolfenstein,9010,2001,102518.0
Alternate History,Return to Castle Wolfenstein,9010,2001,102518.0
Singleplayer,Return to Castle Wolfenstein,9010,2001,102518.0
Shooter,Return to Castle Wolfenstein,9010,2001,102518.0
First-Person,Return to Castle Wolfenstein,9010,2001,102518.0
Atmospheric,Return to Castle Wolfenstein,9010,2001,102518.0
Multiplayer,Return to Castle Wolfenstein,9010,2001,102518.0
Horror,Return to Castle Wolfenstein,9010,2001,102518.0
Gore,Return to Castle Wolfenstein,9010,2001,102518.0
Sci-fi,Return to Castle Wolfenstein,9010,2001,102518.0
Stealth,Return to Castle Wolfenstein,9010,2001,102518.0
Zombies,Return to Castle Wolfenstein,9010,2001,102518.0
Adventure,Return to Castle Wolfenstein,9010,2001,102518.0
Great Soundtrack,Return to Castle Wolfenstein,9010,2001,102518.0
Retro,Return to Castle Wolfenstein,9010,2001,102518.0
Action,QUAKE Mission Pack 1: Scourge of Armagon,9040,1997,9254.0
FPS,QUAKE Mission Pack 1: Scourge of Armagon,9040,1997,9254.0
Classic,QUAKE Mission Pack 1: Scourge of Armagon,9040,1997,9254.0
Shooter,QUAKE Mission Pack 1: Scourge of Armagon,9040,1997,9254.0
First-Person,QUAKE Mission Pack 1: Scourge of Armagon,9040,1997,9254.0
Horror,QUAKE Mission Pack 1: Scourge of Armagon,9040,1997,9254.0
Action,Spear of Destiny,9000,1993,3328.0
FPS,Spear of Destiny,9000,1993,3328.0
Classic,Spear of Destiny,9000,1993,3328.0
World War II,Spear of Destiny,9000,1993,3328.0
Retro,Spear of Destiny,9000,1993,3328.0
Shooter,Spear of Destiny,9000,1993,3328.0
Singleplayer,Spear of Destiny,9000,1993,3328.0
1990's,Spear of Destiny,9000,1993,3328.0
Action,BloodRayne,3810,2003,16393.0
Vampire,BloodRayne,3810,2003,16393.0
Female Protagonist,BloodRayne,3810,2003,16393.0
Third Person,BloodRayne,3810,2003,16393.0
Singleplayer,BloodRayne,3810,2003,16393.0
Hack and Slash,BloodRayne,3810,2003,16393.0
Horror,BloodRayne,3810,2003,16393.0
Gore,BloodRayne,3810,2003,16393.0
Action,QUAKE Mission Pack 2: Dissolution of Eternity,9030,2007,8795.0
FPS,QUAKE Mission Pack 2: Dissolution of Eternity,9030,2007,8795.0
Shooter,QUAKE Mission Pack 2: Dissolution of Eternity,9030,2007,8795.0
Classic,QUAKE Mission Pack 2: Dissolution of Eternity,9030,2007,8795.0
First-Person,QUAKE Mission Pack 2: Dissolution of Eternity,9030,2007,8795.0
FPS,QUAKE,2310,2007,91359.0
Classic,QUAKE,2310,2007,91359.0
Action,QUAKE,2310,2007,91359.0
Shooter,QUAKE,2310,2007,91359.0
Singleplayer,QUAKE,2310,2007,91359.0
Multiplayer,QUAKE,2310,2007,91359.0
1990's,QUAKE,2310,2007,91359.0
Gore,QUAKE,2310,2007,91359.0
Lovecraftian,QUAKE,2310,2007,91359.0
First-Person,QUAKE,2310,2007,91359.0
Great Soundtrack,QUAKE,2310,2007,91359.0
Sci-fi,QUAKE,2310,2007,91359.0
Moddable,QUAKE,2310,2007,91359.0
Horror,QUAKE,2310,2007,91359.0
Retro,QUAKE,2310,2007,91359.0
Fast-Paced,QUAKE,2310,2007,91359.0
Atmospheric,QUAKE,2310,2007,91359.0
Adventure,QUAKE,2310,2007,91359.0
Competitive,QUAKE,2310,2007,91359.0
Co-op,QUAKE,2310,2007,91359.0
Strategy,Genesis Rising,3230,2007,4220.0
Space,Genesis Rising,3230,2007,4220.0
Sci-fi,Genesis Rising,3230,2007,4220.0
RTS,Genesis Rising,3230,2007,4220.0
Strategy,"Warhammer® 40,000: Dawn of War® – Winter Assault",9310,2006,292769.0
Warhammer 40K,"Warhammer® 40,000: Dawn of War® – Winter Assault",9310,2006,292769.0
RTS,"Warhammer® 40,000: Dawn of War® – Winter Assault",9310,2006,292769.0
Sci-fi,"Warhammer® 40,000: Dawn of War® – Winter Assault",9310,2006,292769.0
Games Workshop,"Warhammer® 40,000: Dawn of War® – Winter Assault",9310,2006,292769.0
Base Building,"Warhammer® 40,000: Dawn of War® – Winter Assault",9310,2006,292769.0
Singleplayer,"Warhammer® 40,000: Dawn of War® – Winter Assault",9310,2006,292769.0
Multiplayer,"Warhammer® 40,000: Dawn of War® – Winter Assault",9310,2006,292769.0
Real-Time,"Warhammer® 40,000: Dawn of War® – Winter Assault",9310,2006,292769.0
Tactical,"Warhammer® 40,000: Dawn of War® – Winter Assault",9310,2006,292769.0
Futuristic,"Warhammer® 40,000: Dawn of War® – Winter Assault",9310,2006,292769.0
Action,"Warhammer® 40,000: Dawn of War® – Winter Assault",9310,2006,292769.0
FPS,BioShock™,7670,2007,2681563.0
Atmospheric,BioShock™,7670,2007,2681563.0
Action,BioShock™,7670,2007,2681563.0
Story Rich,BioShock™,7670,2007,2681563.0
Singleplayer,BioShock™,7670,2007,2681563.0
Horror,BioShock™,7670,2007,2681563.0
Steampunk,BioShock™,7670,2007,2681563.0
First-Person,BioShock™,7670,2007,2681563.0
Shooter,BioShock™,7670,2007,2681563.0
RPG,BioShock™,7670,2007,2681563.0
Sci-fi,BioShock™,7670,2007,2681563.0
Classic,BioShock™,7670,2007,2681563.0
Adventure,BioShock™,7670,2007,2681563.0
Dystopian,BioShock™,7670,2007,2681563.0
Underwater,BioShock™,7670,2007,2681563.0
